ph,hardness,solid,chloramine,sulfate,conductivity,carbon,trihalo,turbidity,potability
3.94,163.17,"25,911.32",4.14,371.97,487.99,17.75,63.61,3.48,1.00
6.92,210.86,"29,263.55",6.01,252.23,392.36,12.89,77.08,4.60,1.00
9.15,226.09,"6,787.48",9.24,319.03,459.57,14.11,80.57,3.21,1.00
10.27,225.07,"14,694.42",6.72,300.76,353.63,13.55,64.01,5.20,1.00
8.79,232.46,"7,035.13",9.31,,415.62,12.05,,3.49,1.00
7.37,213.20,"18,452.02",8.29,294.34,496.27,10.55,94.84,3.81,1.00
9.35,207.47,"23,558.55",6.50,346.52,420.59,10.99,,3.40,1.00
9.39,215.05,"20,592.26",10.09,331.34,447.07,10.78,54.43,4.67,1.00
7.30,197.65,"22,535.09",9.29,323.45,353.06,6.04,82.54,4.68,1.00
8.90,211.31,"9,592.15",8.86,348.44,333.78,18.27,68.33,4.52,1.00
8.11,228.17,"18,364.83",6.19,246.94,369.90,14.61,101.35,4.69,1.00
7.80,216.67,"14,160.69",6.06,281.36,468.21,15.15,62.86,4.08,1.00
4.67,171.29,"35,680.07",4.89,314.61,501.90,14.21,56.91,4.56,1.00
10.91,207.00,"16,099.15",8.19,369.68,575.31,17.56,80.75,3.72,1.00
4.74,162.25,"27,215.90",2.86,372.82,437.22,15.13,65.09,2.94,1.00
9.87,223.77,"29,549.66",7.72,281.12,356.18,14.20,84.01,4.74,1.00
,182.58,"19,575.48",10.05,424.69,383.49,19.48,76.63,4.33,1.00
5.83,191.00,"25,863.34",4.82,316.03,370.36,18.36,48.66,3.18,1.00
0.99,133.22,"16,922.85",9.29,444.38,322.29,10.43,43.58,5.16,1.00
,235.24,"10,443.80",7.61,,319.84,8.29,80.54,3.90,1.00
9.49,218.74,"15,357.83",8.53,315.83,429.62,15.62,64.83,3.22,1.00
6.44,214.72,"9,363.85",10.00,273.46,508.35,12.93,71.43,4.93,1.00
6.37,205.06,"7,040.74",11.30,325.33,371.58,16.35,74.31,5.13,1.00
,202.48,"23,828.21",5.53,409.29,414.62,13.80,59.52,5.27,1.00
5.45,199.23,"14,446.81",7.69,298.32,469.13,14.02,95.31,5.19,1.00
,215.97,"21,852.44",7.46,283.76,364.70,11.38,76.54,5.08,1.00
5.43,177.83,"31,421.73",4.58,347.10,490.28,16.07,58.42,2.87,1.00
7.37,217.70,"12,285.89",10.04,,358.98,16.29,93.78,3.59,1.00
,175.71,"25,954.03",6.23,346.23,379.29,13.64,50.59,2.95,0.00
5.23,177.32,"28,398.55",6.29,336.29,328.39,18.46,62.08,2.26,0.00
4.59,185.63,"27,981.09",6.76,354.79,380.72,13.98,74.58,4.92,0.00
6.78,212.44,"12,827.62",7.40,,328.03,10.86,89.58,5.04,0.00
6.40,172.30,"15,936.25",4.94,340.39,435.41,11.08,58.37,4.56,0.00
6.84,166.87,"28,508.64",7.24,,460.77,11.38,73.47,2.85,0.00
6.90,164.72,"20,442.62",5.16,341.54,468.42,10.36,65.69,4.05,0.00
,191.55,"22,462.11",8.19,,349.95,17.25,76.77,5.26,0.00
7.89,228.49,"15,824.79",8.39,314.84,423.66,17.63,56.42,3.63,0.00
5.53,218.52,"22,095.64",6.44,,412.87,12.64,44.33,4.59,0.00
6.49,234.91,"18,607.21",8.62,302.13,442.10,14.12,65.64,4.38,0.00
6.68,193.84,"34,157.18",9.88,344.54,498.06,8.82,66.66,4.03,0.00
,196.33,"24,108.13",7.84,352.62,428.77,10.29,73.45,5.03,0.00
6.22,238.08,"22,423.50",9.34,,474.67,14.03,80.77,3.92,0.00
4.76,203.54,"23,603.07",7.67,324.08,288.91,18.06,85.92,4.41,0.00
7.44,183.36,"17,259.85",4.61,335.63,453.00,9.70,80.54,2.50,0.00
8.05,200.94,"12,642.07",7.31,334.44,446.75,14.95,71.20,3.51,0.00
7.06,215.95,"24,991.77",9.14,321.47,431.42,12.95,64.03,4.30,0.00
,214.74,"12,666.01",7.09,302.49,319.42,15.43,92.69,5.01,0.00
7.61,222.25,"25,063.68",8.56,287.95,505.27,18.27,68.40,2.87,0.00
4.69,200.89,"32,182.26",8.57,364.75,516.85,12.40,85.03,2.73,0.00
8.06,209.84,"8,712.00",8.59,355.44,338.85,18.72,106.24,3.25,0.00
4.29,212.81,"30,434.27",8.63,333.48,382.92,15.78,39.78,2.80,0.00
7.87,184.91,"16,147.00",7.32,,505.91,11.09,88.05,3.74,0.00
9.09,238.22,"9,001.66",9.82,325.10,381.35,19.20,98.49,2.54,0.00
6.59,242.48,"9,381.24",7.30,312.81,440.60,14.03,70.93,3.06,0.00
7.03,168.82,"29,370.26",5.39,,521.78,21.12,58.88,3.63,0.00
8.99,195.81,"23,728.29",7.51,348.71,551.54,15.25,75.91,4.49,0.00
8.56,205.37,"16,686.31",8.16,,347.84,18.89,68.09,2.81,0.00
6.74,156.48,"30,950.68",6.54,363.18,425.29,11.65,70.37,5.21,0.00
,209.43,"20,827.98",6.59,313.87,567.60,17.95,40.14,4.24,0.00
6.49,213.07,"34,314.09",9.04,335.29,313.25,11.14,70.83,3.38,0.00
6.75,191.98,"18,222.93",3.92,296.20,389.74,9.69,92.22,5.10,0.00
5.04,142.86,"40,829.35",7.27,,386.80,16.82,52.30,4.96,0.00
8.30,198.20,"17,469.00",8.26,369.59,294.33,18.03,44.06,5.40,0.00
5.46,152.39,"37,620.25",5.78,,343.42,14.40,41.11,4.48,0.00
7.92,224.15,"20,012.17",9.01,302.39,421.89,22.19,72.73,4.76,0.00
5.02,194.67,"27,317.10",6.16,,313.48,10.41,85.69,5.04,0.00
6.50,252.01,"32,775.63",8.48,,330.05,9.85,80.56,3.39,0.00
,203.05,"28,184.90",7.08,344.52,445.70,19.78,53.27,4.46,0.00
8.78,218.03,"16,183.59",7.39,334.05,389.02,16.35,47.10,4.27,0.00
,184.75,"28,499.11",6.55,330.72,381.50,11.04,62.01,3.40,0.00
8.16,215.65,"17,068.30",8.77,319.25,459.54,14.19,60.37,2.96,0.00
7.69,230.34,"7,324.70",7.99,331.51,492.85,14.23,74.07,4.18,0.00
7.76,173.64,"15,548.42",5.02,330.39,520.64,11.15,87.48,3.26,0.00
7.21,204.01,"18,493.87",5.56,311.57,437.51,12.99,31.39,4.71,0.00
6.99,169.73,"19,472.62",5.02,366.02,425.67,17.31,48.88,4.48,0.00
4.69,221.55,"24,211.63",9.36,307.71,406.55,12.62,60.00,4.01,0.00
,219.73,"9,840.78",8.51,309.84,396.81,12.43,71.63,3.18,0.00
4.06,200.38,"25,770.01",8.34,,414.16,11.08,,4.33,0.00
8.39,213.67,"17,674.71",8.35,,471.37,19.30,70.83,3.57,0.00
10.70,220.45,"10,571.77",6.52,295.98,414.26,14.77,58.74,4.15,0.00
6.79,175.89,"21,467.95",7.10,349.49,427.24,12.56,55.25,2.82,0.00
9.95,232.95,"3,773.28",9.98,,339.88,18.34,82.45,4.05,0.00
,218.99,"9,836.40",7.06,328.72,386.35,15.55,57.33,3.84,0.00
4.49,188.25,"14,906.05",8.49,374.23,518.59,11.23,65.18,3.78,0.00
8.02,175.87,"21,759.36",7.49,352.98,428.66,4.97,72.31,3.44,0.00
5.09,174.27,"34,094.06",6.74,376.66,526.36,17.11,48.55,4.84,0.00
6.47,214.34,"14,848.13",7.05,304.57,304.96,12.18,,3.41,0.00
6.70,208.55,"29,057.23",7.03,302.74,361.95,10.61,53.88,4.27,0.00
5.77,179.57,"27,700.12",6.20,,536.27,12.83,90.01,4.47,0.00
6.57,207.74,"23,372.88",6.28,313.85,497.90,12.87,75.42,4.56,0.00
8.51,200.30,"10,587.30",6.39,307.40,585.22,11.80,63.83,2.52,0.00
5.95,186.46,"32,241.08",8.44,347.71,416.09,14.64,68.91,4.07,0.00
5.40,185.64,"27,509.89",8.26,,587.38,10.02,63.40,3.87,0.00
5.60,162.72,"23,930.37",7.46,,535.34,19.17,54.97,3.51,0.00
10.63,198.38,"12,958.75",7.14,322.62,522.03,16.72,71.78,3.72,0.00
4.92,162.46,"22,829.12",4.02,360.59,541.77,11.58,,3.84,0.00
7.18,200.37,"13,501.68",7.98,358.33,617.54,11.18,71.54,3.81,0.00
5.92,167.66,"25,951.55",6.30,350.38,471.86,15.77,53.32,4.11,0.00
7.38,175.01,"15,340.95",6.14,371.01,579.46,11.92,78.18,4.53,0.00
7.83,220.96,"28,338.98",9.37,316.27,462.14,15.33,57.03,5.58,0.00
4.75,186.30,"33,153.81",8.84,370.17,296.96,14.78,48.45,3.70,0.00
9.06,196.48,"20,226.29",5.84,298.80,342.36,12.81,84.28,5.46,0.00
5.49,176.27,"26,422.10",8.07,366.64,500.94,7.61,59.40,3.29,0.00
4.49,199.05,"36,860.47",9.75,338.05,390.57,8.12,75.67,2.77,0.00
7.03,185.32,"30,988.97",8.60,327.46,326.27,9.98,52.72,5.35,0.00
10.20,182.08,"8,016.20",5.57,337.78,291.60,13.47,50.57,5.17,0.00
6.78,140.37,"17,569.58",4.08,,374.18,10.63,97.09,4.05,0.00
8.08,166.89,"18,136.13",6.87,,600.94,16.31,55.59,4.07,0.00
,191.35,"14,017.37",6.49,345.56,423.98,11.86,65.79,4.17,0.00
7.34,182.31,"5,689.80",6.76,373.87,360.18,20.48,73.49,3.42,0.00
5.92,200.56,"33,306.01",7.43,,399.95,13.80,63.46,3.88,0.00
8.29,196.55,"19,096.82",7.36,342.94,388.94,14.15,73.19,5.44,0.00
5.95,160.44,"16,898.81",6.05,367.33,451.01,16.36,62.37,4.07,0.00
,192.20,"34,160.93",8.96,363.47,474.78,15.91,50.81,3.00,0.00
,216.00,"35,971.03",10.03,330.86,558.11,14.34,81.77,2.93,0.00
5.30,220.08,"39,537.09",9.23,322.43,393.39,10.58,58.80,3.92,0.00
10.28,198.55,"8,108.30",5.55,332.02,568.08,15.66,28.77,4.57,0.00
7.02,167.36,"18,015.00",5.90,362.52,471.48,10.69,45.00,4.10,0.00
6.87,197.52,"19,557.99",8.31,355.09,379.51,18.24,65.69,4.18,0.00
,214.17,"8,985.91",7.30,,498.80,9.58,37.62,5.50,0.00
8.27,195.80,"18,091.20",7.42,365.41,369.20,17.00,,2.58,0.00
8.24,198.21,"11,451.31",5.31,309.33,401.06,13.24,81.20,2.78,0.00
5.79,190.43,"20,288.24",6.30,347.04,544.86,17.71,84.39,4.10,0.00
6.15,237.14,"22,052.03",8.09,306.24,485.10,17.08,58.11,4.03,0.00
7.30,196.95,"22,053.01",5.39,305.22,451.61,14.67,71.71,4.14,0.00
7.59,177.08,"14,912.23",6.04,349.24,355.28,17.16,42.12,3.34,0.00
6.78,189.61,"12,736.87",5.94,,480.31,20.61,76.62,4.07,0.00
5.61,211.51,"32,423.46",6.81,,446.39,20.93,52.22,4.07,0.00
,223.44,"36,290.75",9.38,333.45,373.92,16.52,64.70,3.82,0.00
4.92,197.29,"38,494.72",9.14,383.24,357.47,13.13,61.86,2.29,0.00
5.70,185.92,"27,365.11",7.56,,359.51,15.09,56.46,3.98,0.00
,215.58,"25,338.62",5.79,266.11,429.35,11.85,71.17,3.13,0.00
10.68,168.70,"7,066.38",4.87,,327.66,16.30,46.67,4.31,0.00
7.60,199.35,"11,346.14",6.90,304.97,210.32,17.93,62.85,3.70,0.00
8.85,188.42,"17,734.95",6.06,317.15,419.40,17.12,60.25,2.93,0.00
6.75,203.40,"26,325.82",8.37,341.90,381.44,19.53,58.29,3.76,0.00
,148.10,"13,597.90",5.73,374.02,357.71,13.28,72.70,3.62,0.00
,202.08,"12,519.09",7.63,,399.88,12.75,,4.44,0.00
5.09,159.96,"39,125.21",6.06,375.62,400.16,20.19,68.69,2.60,0.00
6.95,159.77,"21,895.29",4.49,337.27,482.60,10.66,78.76,3.17,0.00
8.98,204.65,"15,158.72",8.65,,416.90,14.62,68.90,2.45,0.00
9.52,204.08,"17,258.19",6.15,310.72,395.70,17.06,44.27,3.99,0.00
4.70,195.35,"35,216.53",7.92,335.28,539.46,9.85,64.72,3.48,0.00
10.39,200.89,"17,982.39",5.85,339.00,336.28,14.32,62.16,4.92,0.00
5.75,183.47,"35,633.27",6.07,327.56,354.17,12.55,70.53,3.81,0.00
,192.97,"11,125.44",4.95,324.76,332.96,15.16,79.26,4.70,0.00
,248.95,"25,253.08",8.92,296.82,482.85,14.14,69.10,3.94,0.00
10.81,209.10,"11,848.23",10.14,349.92,393.19,15.47,66.03,4.42,0.00
8.97,228.69,"16,764.85",7.14,320.56,456.43,12.60,77.33,3.65,0.00
,212.45,"5,699.50",6.65,333.05,269.34,18.08,89.82,2.28,0.00
6.85,204.81,"20,555.56",9.78,387.69,389.64,12.30,49.45,3.13,0.00
8.86,200.61,"15,247.13",6.05,313.13,521.77,13.78,69.87,3.58,0.00
4.25,149.94,"20,497.82",3.27,302.82,427.11,16.09,68.20,3.59,0.00
6.73,229.41,"23,114.03",9.73,321.16,521.84,13.14,68.25,4.72,0.00
5.92,186.62,"44,376.19",6.61,341.64,273.45,12.76,59.46,4.22,0.00
6.78,193.65,"13,677.11",5.17,323.73,477.85,15.06,,3.25,0.00
7.39,219.34,"25,574.09",8.76,,553.06,17.73,60.60,4.33,0.00
6.47,176.74,"30,594.28",4.39,324.66,524.91,16.61,84.30,3.13,0.00
6.93,190.19,"25,780.06",6.26,331.03,481.74,14.05,70.59,3.70,0.00
9.30,236.58,"5,230.63",8.30,,367.90,12.86,18.10,3.68,0.00
7.42,220.39,"15,772.65",9.16,319.91,463.30,16.98,80.27,3.60,0.00
6.58,163.36,"17,977.69",6.54,,383.12,18.09,44.14,3.77,0.00
6.20,211.64,"35,439.69",6.24,314.13,552.46,8.66,56.35,4.11,0.00
9.07,203.38,"22,710.46",5.96,321.59,496.16,18.37,76.42,4.06,0.00
4.71,209.34,"20,070.57",6.59,301.97,354.17,14.02,89.65,3.92,0.00
10.58,213.78,"11,298.45",7.67,300.18,497.17,17.97,83.35,2.97,0.00
7.57,227.98,"8,672.53",7.34,,433.68,11.24,54.87,3.69,0.00
6.14,158.42,"20,129.98",6.81,352.23,373.84,13.42,80.73,4.68,0.00
5.28,186.38,"42,063.87",6.86,319.84,312.00,18.96,71.40,3.88,0.00
6.78,189.44,"19,663.79",8.39,375.46,420.36,14.83,61.05,3.32,0.00
7.24,211.87,"13,911.83",8.20,345.04,494.42,15.42,32.75,4.53,0.00
6.55,190.55,"15,362.45",6.93,356.32,353.06,14.90,,3.44,0.00
8.41,210.80,"27,662.40",6.63,291.69,555.58,12.34,67.06,2.37,0.00
7.99,202.09,"20,447.49",5.69,,477.67,12.26,43.84,4.81,0.00
7.37,185.04,"14,151.76",5.58,324.57,336.96,15.23,50.00,3.05,0.00
6.06,224.84,"25,842.58",9.46,,385.39,13.07,85.35,4.37,0.00
7.86,204.78,"5,619.14",5.82,343.55,432.04,14.95,55.96,4.53,0.00
5.16,189.30,"35,086.40",6.74,340.87,331.59,12.91,61.34,4.65,0.00
,197.57,"17,439.44",6.23,,406.01,16.69,68.97,3.46,0.00
6.40,230.03,"23,037.08",10.52,316.07,452.97,13.63,,2.62,0.00
7.39,207.96,"29,917.82",7.82,,392.50,13.17,79.78,4.26,0.00
4.44,240.17,"24,070.26",9.77,338.05,533.97,11.88,69.04,5.04,0.00
8.25,175.91,"9,913.96",4.97,324.43,302.20,11.07,71.44,3.94,0.00
4.90,214.64,"28,278.79",9.92,337.14,375.04,15.50,61.59,3.50,0.00
6.86,194.59,"23,610.52",8.19,346.77,439.23,14.66,89.03,4.32,0.00
6.67,190.75,"16,246.17",6.37,324.34,383.25,7.85,86.44,1.96,0.00
7.60,207.12,"13,486.14",6.19,328.21,452.45,14.81,88.02,3.40,0.00
8.16,183.16,"20,335.68",6.03,333.08,475.30,18.25,49.60,3.29,0.00
8.87,193.37,"16,854.13",5.18,318.35,355.47,19.03,58.81,4.18,0.00
8.77,215.37,"13,969.44",7.55,322.80,369.02,18.92,54.76,3.78,0.00
4.74,215.53,"30,684.21",8.78,,313.51,11.07,62.91,3.85,0.00
7.79,196.48,"24,061.35",6.79,350.12,471.52,15.34,44.54,3.08,0.00
,238.41,"26,493.08",8.67,311.55,369.28,11.76,91.24,3.24,0.00
6.09,214.56,"11,628.34",7.23,,344.07,13.23,98.69,3.67,0.00
7.65,200.72,"11,699.13",6.65,349.26,420.83,18.86,52.91,3.26,0.00
4.77,200.37,"48,002.08",9.17,340.31,310.93,18.77,63.66,3.94,0.00
,190.63,"26,913.37",4.65,302.42,509.28,16.20,64.10,3.45,0.00
5.39,198.02,"19,900.41",7.84,348.95,419.81,14.62,80.57,2.98,0.00
5.48,165.44,"29,046.08",5.52,370.89,488.77,17.27,80.23,6.36,0.00
6.36,193.51,"22,958.01",6.67,,432.19,16.27,64.58,4.76,0.00
,226.77,"39,942.95",8.59,,538.62,13.74,,4.86,0.00
8.35,231.20,"13,533.23",7.62,313.67,527.38,18.66,58.05,4.22,0.00
6.62,194.98,"20,919.05",6.14,,383.12,9.68,41.34,4.64,0.00
8.31,203.74,"8,727.25",7.46,,543.39,15.47,81.51,2.99,0.00
6.84,166.74,"24,293.17",6.86,332.88,390.80,16.01,87.10,3.67,0.00
6.39,231.49,"26,756.92",8.77,,422.07,16.56,73.26,4.68,0.00
6.49,205.54,"19,397.32",7.89,368.56,479.79,15.81,56.98,2.43,0.00
,236.36,"24,873.62",9.41,300.69,479.06,13.52,46.60,5.28,0.00
6.65,181.69,"30,733.50",5.96,343.93,257.70,17.76,35.30,4.83,0.00
,210.98,"21,174.41",7.62,,572.74,15.11,90.25,4.22,0.00
9.32,212.71,"15,751.18",5.50,296.85,399.77,10.62,74.55,3.01,0.00
4.58,186.10,"33,897.07",6.36,316.55,406.38,19.70,62.32,4.50,0.00
7.88,229.24,"21,733.83",7.90,315.19,368.77,11.64,49.80,4.63,0.00
6.17,238.30,"24,827.52",7.72,269.49,482.67,22.09,79.17,4.44,0.00
7.23,177.57,"17,864.69",5.82,343.59,367.69,19.91,59.30,5.62,0.00
,235.00,"3,900.91",6.94,286.77,553.49,19.42,84.85,4.07,0.00
8.69,184.77,"13,283.78",6.52,348.55,560.97,13.98,71.73,2.90,0.00
,194.81,"32,981.24",9.55,,286.79,10.42,71.91,3.23,0.00
4.80,190.32,"21,280.25",6.19,326.79,357.44,11.71,63.86,4.04,0.00
9.32,199.33,"14,294.24",7.78,366.05,338.44,15.22,63.39,4.13,0.00
7.58,180.75,"11,989.25",4.98,328.18,617.88,13.56,39.22,4.46,0.00
5.35,232.67,"11,797.92",7.82,312.99,371.91,11.98,65.80,3.31,0.00
5.49,179.21,"20,162.02",5.21,305.26,510.61,12.59,58.86,4.22,0.00
,206.58,"40,710.52",8.81,320.45,468.05,14.52,71.45,5.49,0.00
8.32,221.27,"16,123.30",9.48,348.18,501.67,22.16,75.36,2.76,0.00
8.55,216.42,"28,909.29",6.94,295.22,510.90,16.20,79.86,4.05,0.00
6.01,218.84,"21,573.75",9.30,321.17,444.28,14.74,62.44,3.46,0.00
5.74,173.85,"28,392.00",7.02,355.46,336.06,16.90,65.45,3.17,0.00
5.22,164.79,"27,007.89",6.59,,422.22,14.07,73.92,4.38,0.00
,240.43,"25,959.61",10.57,,446.74,13.57,80.27,3.36,0.00
7.46,207.79,"10,513.30",8.92,,442.37,18.73,43.90,2.94,0.00
11.03,228.32,"13,124.11",7.52,319.35,376.23,8.03,48.53,4.18,0.00
6.73,242.16,"17,975.55",9.81,322.24,440.86,13.57,62.18,4.00,0.00
4.15,174.93,"41,489.64",5.57,,425.25,12.53,86.68,3.50,0.00
7.16,171.82,"28,954.80",5.82,357.33,530.53,18.12,79.09,3.25,0.00
,235.42,"13,927.00",8.55,,446.42,14.13,51.71,3.66,0.00
6.21,169.32,"22,610.77",4.88,327.38,549.28,17.02,51.51,3.89,0.00
,178.78,"10,490.84",7.53,354.06,367.76,14.67,57.40,4.13,0.00
9.61,231.34,"4,544.84",6.58,300.92,328.90,11.79,78.57,3.04,0.00
5.38,153.71,"56,867.86",7.89,,493.89,15.12,57.71,4.17,0.00
8.70,166.45,"27,752.00",5.35,372.26,393.56,13.75,75.02,4.18,0.00
7.75,198.84,"18,939.94",7.38,316.82,368.40,9.98,65.25,3.14,0.00
7.12,216.12,"20,067.57",9.61,349.08,331.97,17.54,84.03,4.21,0.00
8.31,212.70,"40,936.15",7.70,301.25,365.43,12.97,70.49,4.78,0.00
5.52,157.14,"26,220.17",6.34,379.79,475.34,16.90,51.11,4.03,0.00
10.20,190.80,"8,918.89",4.90,306.50,331.38,18.53,68.55,3.96,0.00
5.37,190.94,"32,619.31",8.10,351.36,435.67,11.98,107.90,2.00,0.00
8.94,147.92,"10,562.46",3.69,371.18,480.32,16.98,61.16,2.83,0.00
8.12,207.51,"26,489.11",8.54,318.06,431.63,10.08,63.98,4.72,0.00
7.18,201.08,"25,234.43",5.22,283.74,384.01,12.43,23.14,3.67,0.00
5.50,230.31,"13,902.97",9.62,352.08,442.17,14.74,,5.85,0.00
,256.67,"8,904.80",9.71,293.11,325.00,16.85,72.69,3.37,0.00
5.32,204.20,"22,390.80",8.05,315.03,399.12,13.97,83.16,2.93,0.00
6.37,235.34,"34,456.80",9.17,295.35,357.42,9.21,59.28,2.28,0.00
6.73,197.56,"27,430.44",6.04,303.94,397.68,19.39,54.51,3.18,0.00
6.88,210.50,"14,298.41",7.24,316.75,570.42,15.96,70.62,4.10,0.00
8.01,225.16,"20,375.67",7.84,308.59,382.01,12.67,78.77,4.44,0.00
8.27,204.23,"24,196.52",8.45,332.89,500.68,15.16,71.02,5.14,0.00
8.75,148.39,"22,174.78",5.46,369.37,407.38,15.89,72.16,4.76,0.00
8.15,202.32,"25,620.77",7.65,367.22,597.87,11.80,72.38,3.70,0.00
9.05,222.18,"22,829.11",7.61,293.06,558.75,15.36,44.56,4.21,0.00
8.92,207.52,"13,291.92",8.56,357.94,468.54,15.69,107.28,4.08,0.00
5.96,182.11,"23,926.08",6.19,364.98,567.53,7.79,58.17,4.92,0.00
,205.44,"20,113.90",7.25,317.28,558.95,23.95,68.24,3.65,0.00
8.18,166.64,"17,944.85",4.04,331.95,363.24,12.54,56.31,4.60,0.00
7.64,238.94,"18,136.26",11.09,351.56,514.96,8.64,55.60,3.33,0.00
7.78,193.08,"15,704.48",7.88,324.34,301.75,13.38,89.05,3.31,0.00
7.62,196.61,"27,080.27",7.38,345.18,329.02,8.55,60.14,2.39,0.00
6.66,218.77,"16,477.35",7.33,299.85,412.31,17.19,41.04,4.50,0.00
,182.16,"30,646.82",6.33,294.97,404.12,14.71,106.37,3.86,0.00
8.82,208.33,"26,780.69",7.22,329.12,430.41,7.15,88.41,2.88,0.00
7.77,173.19,"13,736.34",6.98,359.81,356.00,11.52,39.55,3.21,0.00
6.23,169.74,"29,533.61",5.57,,380.11,17.60,75.52,2.77,0.00
,223.72,"15,893.67",8.29,303.85,360.47,15.23,48.20,4.16,0.00
8.57,160.22,"23,683.11",4.29,360.29,490.51,9.03,67.48,2.80,0.00
6.99,216.67,"23,027.39",9.80,382.15,369.47,18.97,59.65,4.40,0.00
3.34,156.48,"55,334.70",8.53,371.15,485.63,16.98,69.62,2.58,0.00
,198.65,"20,063.49",9.54,344.62,412.98,9.77,43.14,4.57,0.00
,192.25,"21,762.61",7.26,331.65,397.26,18.26,45.98,4.34,1.00
7.77,216.75,"22,316.40",7.95,385.04,288.07,14.14,68.86,3.89,1.00
,172.73,"28,894.48",4.25,244.29,559.63,21.34,51.27,2.96,1.00
7.20,168.45,"22,826.48",6.28,271.89,437.37,16.41,64.51,6.39,1.00
6.15,240.89,"6,342.50",9.61,421.34,354.39,12.34,83.24,3.55,1.00
,225.96,"9,660.66",8.83,397.92,315.75,16.72,17.00,3.96,1.00
6.77,203.75,"21,162.73",5.23,251.06,334.91,13.21,79.86,3.30,1.00
8.04,148.42,"48,410.47",4.76,268.21,392.90,12.47,,2.51,1.00
8.18,210.45,"18,626.15",7.27,,455.93,14.25,85.93,3.33,1.00
6.74,204.08,"20,215.70",6.13,304.53,544.34,12.01,72.61,4.87,1.00
7.60,214.68,"11,459.62",11.00,398.92,321.07,12.01,58.10,3.58,1.00
8.55,177.85,"23,349.49",7.65,352.82,413.32,12.36,108.85,3.51,1.00
5.43,231.35,"14,970.65",9.18,409.99,448.86,10.84,65.55,3.87,1.00
7.71,194.74,"27,336.96",7.63,322.07,347.83,10.64,63.72,3.18,1.00
8.15,168.10,"21,361.20",6.20,,419.17,12.30,59.89,2.46,1.00
,190.22,"23,094.87",6.48,298.36,414.89,13.46,50.90,2.98,1.00
7.85,193.78,"13,769.86",9.01,343.62,510.31,13.77,99.18,3.67,1.00
7.16,197.99,"27,025.21",6.73,359.71,448.46,12.51,49.30,2.96,1.00
5.69,240.71,"7,998.67",8.12,,477.05,15.46,68.90,3.87,1.00
6.71,199.29,"17,435.34",6.81,,454.73,14.59,81.38,3.82,1.00
4.78,232.00,"13,978.17",9.42,389.22,526.07,17.21,73.94,3.22,1.00
,200.32,"19,947.43",7.38,337.23,295.76,14.03,29.67,4.39,1.00
,205.13,"17,537.99",8.03,396.09,318.54,13.86,93.71,3.00,1.00
8.50,193.91,"21,289.18",7.11,,393.18,13.64,61.13,5.61,1.00
7.74,218.24,"22,824.70",8.70,363.99,521.02,15.31,73.72,3.74,1.00
4.19,208.37,"21,809.71",5.85,327.47,264.51,11.24,46.68,4.59,1.00
,142.15,"45,141.69",6.03,240.20,369.28,20.61,70.17,4.60,1.00
7.81,179.80,"17,037.73",6.38,348.07,590.06,12.09,81.59,4.17,1.00
5.90,187.15,"37,118.26",4.60,253.16,531.17,11.41,77.29,3.66,1.00
7.27,155.16,"31,161.37",3.18,244.80,506.01,17.39,73.12,3.79,1.00
,213.04,"12,036.64",9.79,349.17,284.02,12.42,74.67,3.90,1.00
9.49,167.89,"40,032.41",8.35,,354.79,14.17,102.57,4.30,1.00
7.46,183.46,"14,733.46",7.48,335.67,482.64,8.96,82.58,4.50,1.00
7.99,230.18,"17,076.66",9.60,,522.89,14.45,68.64,4.34,1.00
7.75,212.27,"21,670.59",8.46,361.38,457.01,21.43,43.19,3.68,1.00
8.28,163.36,"22,013.96",5.74,307.67,351.63,20.06,78.50,4.72,1.00
6.88,163.59,"44,586.81",2.74,219.15,554.05,16.52,67.53,5.69,1.00
6.80,239.06,"7,986.49",10.37,419.88,373.23,18.83,43.44,3.82,1.00
8.17,144.90,"36,185.68",4.55,297.96,605.46,20.22,,3.41,1.00
,214.66,"19,692.46",5.95,326.18,385.83,15.56,77.83,3.26,1.00
4.74,203.28,"28,698.73",5.27,323.68,508.82,14.06,65.16,5.00,1.00
5.95,226.94,"11,930.62",9.68,,350.97,13.61,70.57,3.97,1.00
6.58,198.41,"22,389.38",7.32,369.10,408.20,6.06,105.40,3.69,1.00
8.78,157.35,"22,113.39",7.93,304.81,480.72,15.69,82.93,4.39,1.00
6.85,167.99,"40,588.43",3.37,265.43,300.41,16.01,72.36,3.08,1.00
8.76,185.42,"31,040.88",8.54,,408.10,18.24,72.30,3.81,1.00
,213.00,"21,687.47",6.90,,383.75,11.79,57.35,3.24,1.00
,178.15,"34,383.60",6.43,311.53,570.38,17.59,68.99,4.01,1.00
8.07,191.82,"17,106.44",7.90,333.48,432.90,13.34,54.22,4.85,1.00
5.08,185.09,"18,125.64",4.11,275.06,528.16,11.33,80.34,3.63,1.00
7.44,203.07,"25,489.08",8.18,413.56,405.42,13.28,74.41,2.57,1.00
9.43,158.39,"20,474.82",5.86,285.40,476.84,14.39,73.16,4.20,1.00
5.91,223.14,"13,464.49",9.13,378.11,337.86,13.53,42.84,2.92,1.00
5.80,193.20,"19,451.77",4.15,255.98,365.48,14.92,8.58,2.18,1.00
7.62,182.69,"33,744.17",6.23,369.55,327.23,14.07,82.78,3.42,1.00
